Company Name,Website
HealthCheck360,https://www.healthcheck360.com/
Equifax Inc.,https://www.equifax.com/personal/
FIS Global,https://www.fisglobal.com/en
Barclaycard,https://cards.barclaycardus.com/
Groom Law Group Chartered,https://www.groom.com/
Velir,https://www.velir.com/
Allied Payment Network Inc,https://www.alliedpayment.com/
DigiCert,https://www.digicert.com/
Layer 8 Security,https://layer8security.com/
Atos,https://atos.net/en/
Benefitfocus Inc,https://www.benefitfocus.com/
Convergys,https://www.concentrix.com/
ACCENTURE PLC,https://www.accenture.com/ca-en
Konica,https://www.konicaminolta.com/ca-en/index.html
Cohesity,https://www.cohesity.com/
Angleritech,https://www.angleritech.com/
"DST Health Solutions, Inc.",https://health.ssctech.com/
Ciklum,https://www.ciklum.com/
Info Armor,https://www.infoarmor.com/
"Compucom Systems, Inc.",https://www.compucom.com/
Clarizen,https://www.clarizen.com/
Lowenstein Sandler LLP,https://www.lowenstein.com/
CWT,https://www.mycwt.com/
CGI GROUP INC,https://www.cgi.com/en
Inmar Inc,https://www.inmar.com/
Charter Communications,https://www.spectrum.com/
Global Relay Communications Inc,https://www.globalrelay.com/
ExtendOffice.com KUTools,https://www.extendoffice.com/
Kyriba,https://www.kyriba.com/
Fynd,https://www.fynd.com/
Fiserv Inc,https://www.fiserv.com/
Avanade,https://www.avanade.com/en-ca
Data Support Systems Inc.,https://www.datasupport.com/
"Cleanshelf, Inc.",https://www.cleanshelf.com/
"DocuSign, Inc.",https://www.docusign.ca/
Domo,https://www.domo.com/
"Conenza, Inc.",https://www.conenza.com/
Dechert LLP,https://www.dechert.com/
Leimberg & Leclair Inc,https://www.leimberg.com/
Erado,https://www.erado.com/
Xerox,https://www.xerox.ca/
"Intuit, Inc.",https://www.intuit.com/ca/
HR Acuity,https://www.hracuity.com/
FTP Today,https://www.ftptoday.com/
"Bryan, Pendleton, Swats & McAllister, LLC",
EOS CCA,https://www.eos-cca.com/
Computershare Limited,https://www.computershare.com/ca/en
Coveo,https://www.coveo.com/en
IMS Imaging,http://www.imsimaging.com/
Anybill,https://www.anybill.com/
BookingBug,https://www.jrni.com/
"GitHub, Inc.",https://github.com/
Ibisworld Inc,https://www.ibisworld.com/
Dun & Bradstreet Hoovers,https://www.dnb.com/ca-en/
Amadeus IT Group SA,https://amadeus.com/en
Docupace Technologies,https://www.docupace.com/
"Allison Payment Systems, LLC",https://www.apsllc.com/
FastSpring,https://fastspring.com/
Global Impact,https://charity.org/
"InsideSales.com, Inc.",https://www2.xant.ai/
Anthem,
InsightSquared,https://www.insightsquared.com/
ADP,https://www.adp.ca/en.aspx
IDology,https://www.idology.com/
Cochran,https://www.cochran.com/
Exactbid LLC Narrative1,https://edrnet.com/exact-bid-welcome/
"Cushman & Wakefield, Inc.",https://www.cushmanwakefield.com/en/canada
Vynamic LLC,https://vynamic.com/
"Benevity, Inc.",https://benevity.com/
Hubspot Inc,https://www.hubspot.com/
Coupa Software Inc,https://www.coupa.com/
"Esri Global, Inc.",https://www.esri.com/en-us/home
Greatland Corporation - Yearli,https://www.greatland.com/
Black Duck Software Inc.,https://www.blackducksoftware.com/
Debevoise & Plimpton LLP,https://www.debevoise.com/
Baker Hill,https://thetownsatbakerhill.com/
American Litho,https://www.alitho.com/
Lenders Risk,http://lendersrisk.com/
Collins Computing Inc,http://www.collinscomputing.com/
"Alert Logic, Inc.",https://www.alertlogic.com/
"Epic Advisors, Inc.",https://www.epicrps.com/#/
Gainsight,https://www.gainsight.com/
Isupport Software,https://www.isupport.com/
Change Healthcare,https://www.changehealthcare.com/
"BlueJeans Network, Inc.",https://www.bluejeans.com/
House of Kaizen,https://houseofkaizen.com/
Digital River,https://www.digitalriver.com/
"Benefit Resource, LLC",https://www.benefitresource.com/
Centrality,
Bencomp Communications,https://www.bencompusa.com/
ADS Alliance Data Systems,https://www.alliancedata.com/home/default.aspx
Arvato,https://www.bertelsmann.com/#st-1
American Express,https://www.americanexpress.com/ca/
DHL International,https://www.dhl.com/ca-en/home.html
EXL Service,https://www.exlservice.com/
"Broadridge Financial Solutions, Inc.",https://www.broadridge.com/ca/
Kony Inc EVN,https://www.kony.com/
"Chard, Snyder & Associates, Inc.",https://www.chard-snyder.com/
CoStar,https://www.costar.com/
Financial Navigator,http://www.finnav.com/sd
"DHL&S, P.C.",https://dhls.com/
Concentric Advisors,https://www.concentricadvisors.com/
Cordial,https://cordial.com/
KPMG,https://home.kpmg/ca/en/home.html
Blue Software LLC,https://bluesoftware.com/
Frontify AG,https://www.frontify.com/en/
F5 Networks Inc,https://www.f5.com/
Collaborative Solutions,https://www.collaborativesolutions.com/
Infogroup,https://www.infogroup.com/
Financial Engines,https://financialengines.com/workplace
Applied Predictive Technologies,https://www.predictivetechnologies.com/en
CyrusOne,https://cyrusone.com/
Bon Appétit Management Company,https://www.bamco.com/
Harte-Hanks,https://www.hartehanks.com/
Adobe,https://www.adobe.com/ca/
Five9 Inc,https://www.five9.com/
Linedata,https://www.linedata.com/
Glint Inc,https://www.glintinc.com/
Cognizant,https://www.cognizant.com/canada
Ernst and Young,https://www.ey.com/en_ca
Deluxe Enterprise Operations,https://www.deluxe.ca/
Interactive Health,http://www.interactivehealthinc.com/
CVS Caremark (PBM),https://www.caremark.com/wps/portal
Harvest HCM,https://www.harvesthcm.com/
"Ceridian HCM, Inc.",https://www.ceridian.com/
"InCloud, LLC",https://www.incloudcounsel.com/
Kaiser Permanente,https://wa.kaiserpermanente.org/
Klick Health,https://www.klick.com/
Brightcove Inc.,https://www.brightcove.com/en/
Dealertrack Inc,https://www.dealertrackcanada.com/
ConServe,
Bridgeline Digital,https://www.bridgeline.com/
EXL,https://www.exlservice.com/
CAL Business Solutions,https://www.calszone.com/
Interxion,https://www.interxion.com/
DATASHIELD,https://www.datashieldprotect.com/
"System Solutions, Inc",https://www.ssiop.com/
CoreLogic Realquest,https://www.corelogic.com/
"Liquid Web, Inc.",https://www.liquidweb.com/
"Infogix, Inc.",https://www.infogix.com/
Alteryx,https://www.alteryx.com/
Accordant Health Services (CVS Health),https://www.accordant.com/Apps/WebObjects/Accordant.woa
"Fragomen, Del Rey, Bernsen and Loewy, LLP",https://www.fragomen.com/
Delta Dental of Washington,https://www.deltadentalwa.com/
KPMG  LLP   EVN,https://home.kpmg/ca/en/home.html
Laser App Software Inc.,http://www.laserapp.com/
Atos China,https://atos.net/zh-cn/china
Cic Plus Inc,https://www.cicplus.com/
LeapFILE,https://www.leapfile.com/
"LiveRamp, Inc.",https://liveramp.com/
AndFrankly,https://www.andfrankly.com/en/
Irem Solutions Inc,https://www.iremsolutions.com/
Box,https://www.box.com/home
Lexmark,https://www.lexmark.com/en_ca.html
ADP Canada,https://www.adp.ca/en.aspx
"Homecare Homebase, LLC",https://hchb.com/
Arch Capital Group Ltd,https://www.archcapgroup.com/
Curo Compensation,https://curocomp.com/
International SOS,https://www.internationalsos.com/
"HealthcareBank, a division of Bell Bank",https://www.healthcare.bank/
LexisNexis - InterAction,https://www.interaction.com/
Bambora,https://www.bambora.com/en/ca/
Liberty Mutual Insurance,https://www.libertymutual.com/
Bomgar Corporation,https://www.beyondtrust.com/
Forum One,https://www.forumone.com/
EyeMed Vision Care,https://eyemed.com/en-us
Magellan Healthcare,https://www.magellanhealth.com/
Chatham Financial,https://www.chathamfinancial.com/
CIIC,
Concur Technologies Inc.,https://www.concur.ca/
CIBT Visas,https://cibtvisas.ca/
Cathedral Corporation,https://www.cathedralcorporation.com/index.asp
Digitas,https://www.digitas.com/en-us
Adobe Systems Inc.,https://www.adobe.com/ca/
"Citrix Systems, Inc.",https://www.citrix.com/
"Calabrio, Inc.",https://www.calabrio.com/
"IMS, Inc.",https://www.imsinc.ca/
CenturyLink,https://www.centurylink.com/
Cheshire,
GCI,https://gcicanada.com/
Bynder,https://www.bynder.com/en/
ANS Commerce,http://www.anscommerce.com/
Allsec Technologies,https://www.allsectech.com/
Medweb California LLC,https://www.medweb.com/
Interface Security Systems LLC,https://interfacesystems.com/
Business Valuation Resources Llc,https://www.bvresources.com/
LOVEN SYSTEMS LLC,
Impartner,https://www.impartner.com/
International Medical Direction,https://www.imdems.com/
CPI Card Group Inc.,https://www.cpicardgroup.com/
"Commission Junction, LLC",https://www.cj.com/
Cigna Dental,https://www.cigna.com/
Collibra,https://www.collibra.com/
IBM,https://www.ibm.com/ca-en
Hr Works Inc,https://hrworks-inc.com/
Experian Information Solutions Inc.,https://www.experian.com/corporate/about-experian
Intraworlds,https://www.intraworlds.com/
"Kronos, Inc.",https://www.kronos.ca/
Cyxtera,https://www.cyxtera.com/
"Allen & Overy, LLP",https://www.allenovery.com/en-gb/global